Id,Name,Category,PurchasedUnit,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Count,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
115,16/24 Oz Lids,Paper Goods,1000 CASE,Sleeve,10,1,1,12,1,25.51,1,3/7/2018 12:00:00 AM,3
116,Straws,Paper Goods,2000,BOX,4,1,1,2.5,1,10.06,1,2/28/2018 12:00:00 AM,3
117,16 Oz Cups,Paper Goods,1000 CASE,Sleeve,20,1,1,10,1,54.75,1,,3
118,Large To-Go Bags,Paper Goods,500,BAG,1,1,1,0.4,1,52.81,1,2/14/2018 12:00:00 AM,3
119,Soufle Cups,Paper Goods,2500,Sleeve,25,1,1,6,1,28.99,1,2/28/2018 12:00:00 AM,3
120,Ceramawrap,Paper Goods,2000,EACH,1,1,1,0,1,10.54,1,2/7/2018 11:52:55 AM,3
121,Die-Cut To-Go Bags,Paper Goods,500,CASE,1,1,1,0,1,60.34,1,2/28/2018 12:00:00 AM,3
122,Garbage Bags,Janitorial,250,CASE,1,1,1,1.1,1,28.62,1,3/7/2018 12:00:00 AM,3
123,Detergent,Janitorial,5 GAL,GALLON,4,1,1,1,1,21.02,2,12/11/2017 12:00:00 AM,2
124,De-Greaser,Janitorial,1 Gal,GALLON,4,1,1,3.1,1,5.53,1,2/21/2018 12:00:00 AM,3
125,Bleach,Janitorial,4 GAL,GALLON,4,1,1,0,1,8,1,2/21/2018 12:00:00 AM,3
126,Steel Wool,Janitorial,12 COUNT,Sleeve,12,1,1,9,1,4.62,1,3/7/2018 12:00:00 AM,3
127,Floor Cleaner,Janitorial,3 GAL,1 GAL,3,1,1,0,1,73.67,1,,3
128,Bay Leaves,Herbs,8oz,OZ-wt,8,OZ-wt,1,19.4,1,10.48,1,12/11/2017 12:00:00 AM,2
129,Lemonade Base,Beverage,EA,GALLON,4,1,16,1.3,,21.11,1.75,2/11/2018 12:00:00 AM,2
130,Pink Lemonade Base,Beverage,4 GAL,GALLON,4,1,1,3.6,,22.23,2,3/2/2018 12:00:00 AM,2
131,Jalapenos Nacho Sliced,Grocery,EA,CAN,6,OZ-wt,1,1,,19.99,1,3/1/2018 12:00:00 AM,0
132,Grill Screens,Janitorial,,Sleeve,0,EA,1,0,1,0,0,,
133,Grill Pads,Janitorial,60 COUNT,Sleeve,6,1,1,0,1,69.39,1,3/7/2018 12:00:00 AM,3
134,Buttermilk,Dairy,,1/2 GALLON,0,EA,1,0,1,0,0,,
135,Hidden Valley Ranch,Grocery,,EACH,0,EA,1,0,1,0,0,,
136,Red Wine Vinegar,Grocery,,GAL,0,OZ-fl,1,0,1,0,0,,
137,Fresh Mint,Produce,,1lb,0,OZ-wt,1,0,1,0,0,,
138,Strawberries,Produce,EA,Basket,1,OZ-wt,1,0,1,4,0,,
