Id,Date,GrossSales,SalesForecast,BreadDescDBString
57,7/10/2017 12:00:00 AM,784.1,800,Name=Sourdough;BeginInventory=16;FreezerCount=46;Delivery=112;Backup=64;ParFactor=11;Id=-1|Name=Whole Wheat;BeginInventory=0;FreezerCount=0;Delivery=56;Backup=32;ParFactor=40;Id=-1
58,7/11/2017 12:00:00 AM,1085.82,1100,Name=Sourdough;BeginInventory=88;FreezerCount=16;Delivery=144;Backup=64;ParFactor=11;Id=-1|Name=Whole Wheat;BeginInventory=24;FreezerCount=0;Delivery=32;Backup=32;ParFactor=40;Id=-1
59,7/12/2017 12:00:00 AM,1084.21,1100,Name=Sourdough;BeginInventory=72;FreezerCount=80;Delivery=104;Backup=64;ParFactor=11;Id=-1|Name=Whole Wheat;BeginInventory=8;FreezerCount=16;Delivery=60;Backup=32;ParFactor=40;Id=-1
60,7/13/2017 12:00:00 AM,1143.14,1100,Name=Sourdough;BeginInventory=40;FreezerCount=136;Delivery=0;Backup=64;ParFactor=11;Id=-1|Name=Whole Wheat;BeginInventory=32;FreezerCount=40;Delivery=0;Backup=32;ParFactor=40;Id=-1
61,7/14/2017 12:00:00 AM,1431.3,1400,Name=Sourdough;BeginInventory=32;FreezerCount=32;Delivery=136;Backup=64;ParFactor=11;Id=-1|Name=Whole Wheat;BeginInventory=8;FreezerCount=32;Delivery=56;Backup=32;ParFactor=40;Id=-1
62,7/15/2017 12:00:00 AM,1306.24,1500,Name=Sourdough;BeginInventory=24;FreezerCount=36;Delivery=144;Backup=64;ParFactor=11;Id=-1|Name=Whole Wheat;BeginInventory=40;FreezerCount=36;Delivery=40;Backup=32;ParFactor=40;Id=-1
63,7/16/2017 12:00:00 AM,567.22,1300,Name=Sourdough;BeginInventory=48;FreezerCount=32;Delivery=136;Backup=64;ParFactor=11;Id=-1|Name=Whole Wheat;BeginInventory=48;FreezerCount=32;Delivery=0;Backup=32;ParFactor=40;Id=-1
64,7/17/2017 12:00:00 AM,1122.07,1200,Name=Sourdough;BeginInventory=80;FreezerCount=32;Delivery=88;Backup=64;ParFactor=10.94129;Id=-1|Name=Whole Wheat;BeginInventory=8;FreezerCount=32;Delivery=56;Backup=32;ParFactor=40.91813;Id=-1
65,7/18/2017 12:00:00 AM,939.17,1100,Name=Sourdough;BeginInventory=56;FreezerCount=56;Delivery=96;Backup=64;ParFactor=10.43093;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=48;Delivery=0;Backup=32;ParFactor=36.30034;Id=-1
66,7/19/2017 12:00:00 AM,1197.4,1100,Name=Sourdough;BeginInventory=64;FreezerCount=56;Delivery=80;Backup=64;ParFactor=10.43093;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=32;Delivery=24;Backup=32;ParFactor=36.30034;Id=-1
