Id,LastVendorId,Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate
113,2,Crushed Red Pepper,Herbs,5lbs,60,OZ-wt,80,TBL,1,1000000,17.15,1,
114,6,Sugar (CANE),Beverage,EA,8,QUART,16,CUP,1,1E+12,30,0,
115,3,16/24 Oz Lids,Paper Goods,1000 CASE,6,Sleeve,10,1,1,100,23.19,1,
116,3,Straws,Paper Goods,2000,4.5,BOX,4,1,1,100,10.06,1,
117,3,16 Oz Cups,Paper Goods,1000 CASE,13,Sleeve,20,1,1,100,54.75,1,
118,3,Large To-Go Bags,Paper Goods,500,0.5,BAG,1,1,1,100,52.81,0,
119,3,Soufle Cups,Paper Goods,2500,6,Sleeve,25,1,1,100,26.35,1,
120,3,Ceramawrap,Paper Goods,2000,1,EACH,1,1,1,100,10.26,1,
121,3,Die-Cut To-Go Bags,Paper Goods,500,0.7,CASE,1,1,1,100,55.35,1,
122,3,Garbage Bags,Janitorial,250,1.5,CASE,1,1,1,100,28.62,1,
123,3,Detergent,Janitorial,4 GAL,2.5,GALLON,4,1,1,100,16.2,1,
124,2,De-Greaser,Janitorial,1 Gal,6.5,GALLON,4,1,1,100,19.7,1,
125,3,Bleach,Janitorial,4 GAL,2,GALLON,4,1,1,100,8,1,
126,3,Steel Wool,Janitorial,12 COUNT,9,Sleeve,12,1,1,100,4.77,1,
127,2,Fabuloso,Janitorial,3 GAL,1.75,1 GAL,3,1,1,,24.26,0,
128,2,Bay Leaves,Herbs,8oz,35.2,OZ-wt,8,OZ-wt,1,,11.91,0,
129,2,Lemonade Base,Beverage,EA,0,GALLON,4,1,16,,20.58,0,
130,2,Pink Lemonade Base,Beverage,4 GAL,0,GALLON,4,1,1,,22.96,0,
