Id,Name,LastPurchasedPrice,Conversion,PurchasedUnit,Category,Count,CountUnit,RecipeUnit,RecipeUnitConversion,Yield,LastOrderAmount,LastPurchasedDate,LastVendorId
126,Steel Wool,4.62,12,12 COUNT,Janitorial,5,Sleeve,1,1,1,1,2/14/2018 12:00:00 AM,3
127,Floor Cleaner,73.67,3,3 GAL,Janitorial,2,1 GAL,1,1,1,1,,2
128,Bay Leaves,10.48,16,16oz,Herbs,34,OZ-wt,OZ-wt,1,1,0,12/11/2017 12:00:00 AM,2
129,Lemonade Base,21.11,4,EA,Beverage,17.1,GALLON,1,16,,0,2/11/2018 12:00:00 AM,2
130,Pink Lemonade Base,22.23,4,4 GAL,Beverage,25.7,GALLON,1,1,,0,2/11/2018 12:00:00 AM,2
131,Jalapenos Nacho Sliced,19.99,6,EA,Grocery,29,CAN,OZ-wt,1,,1,2/26/2018 11:53:10 AM,0
132,Grill Screens,75.68,10,,Janitorial,7,Sleeve,EA,1,1,0,,-1
133,Grill Pads,69.39,6,60 COUNT,Janitorial,2,Sleeve,1,1,1,0,,-1
134,Buttermilk,9.89,6,EA,Dairy,2,1/2 GALLON,EA,1,1,1,,-1
135,Hidden Valley Ranch,37.79,18,EA,Grocery,16,EACH,EA,1,1,0,,-1
