Id,Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
85,Wax Paper Sheets,Paper Goods,6000,6,Stack,6,1,1,1,54.65,1,3/7/2018 12:00:00 AM,3
86,Small To-Go Bags,Paper Goods,500,0.75,Case,1,1,1,1,16.21,1,3/7/2018 12:00:00 AM,3
87,Foil Roll,Paper Goods,ROLL,5,1,1,1,1,1,17.65,5,,3
89,To-Go Soup Bowls (16oz),Paper Goods,500,11,Sleeve,10,1,1,1,48.78,1,3/7/2018 12:00:00 AM,3
90,Paper Towels,Paper Goods,4000,16,Sleeve,16,1,1,1,16.11,1,3/5/2018 10:44:47 AM,3
91,To-Go Soup Lids,Paper Goods,500,8,Sleeve,10,1,1,1,42.68,1,3/7/2018 12:00:00 AM,3
92,To-Go Soup Bowls (12oz),Paper Goods,500,12,Sleeve,10,1,1,1,42.68,1,3/7/2018 12:00:00 AM,3
95,Napkins,Paper Goods,6000,14,Stack,12,1,1,1,43.23,1,3/5/2018 10:44:47 AM,3
97,Dried Black Beans,Grocery,50lbs,16,Quart,27.414,3.5,1,100,36.99,1,2/19/2018 12:00:00 AM,0
99,Cinnamon,Herbs,5lbs,113.8,LB,80,OZ-wt,1,1,18.02,1,12/11/2017 12:00:00 AM,2
100,Passion Syrup,Beverage,6/5.5lbs,15,5.5 lbs,6,CUP,7.65,1,60,0,,5
101,Allspice,Herbs,1lb,33.8,OZ-wt,16,TBL,1,1,8.02,0,,2
102,Black Tea,Beverage,(20 x 600g) CASE,26,BAG,20,CUP,5.88,1,110,0,,5
104,Honey,Beverage,5lbs,3.7,JAR,1,CUP,6.96,1,11.99,0,,6
106,24 Oz Cups,Paper Goods,600 COUNT,12,Sleeve,12,Each,1,1,64.75,1,3/5/2018 10:44:47 AM,3
107,Dried Pinto Beans,Grocery,25lb,24,Quart,14.47,8,8,10000,25.49,1,3/1/2018 12:00:00 AM,0
109,Sanitizer,Janitorial,4 GAL,0.4,GALLON,4,1,1,1,93.83,0,,3
110,Poly Gloves,Paper Goods,2000,5,BOX,4,1,1,1,15.8,2,3/7/2018 12:00:00 AM,3
111,Sourdough,Bread,EA,0,EACH,1,1,1,1,0.67,0,,7
112,Dried Garbanzo Beans,Grocery,25lb,47.64,QUART,13.318,LB,1.877,1,22.93,2,3/2/2018 12:00:00 AM,2
113,Crushed Red Pepper,Herbs,3.5lb,130.6,OZ-wt,56,TBL,1,1,17.15,1,12/11/2017 12:00:00 AM,2
114,Sugar (CANE),Beverage,EA,0.5,QUART,16,CUP,1,1,30,0,,6
115,16/24 Oz Lids,Paper Goods,1000 CASE,9,Sleeve,10,1,1,1,25.51,1,3/7/2018 12:00:00 AM,3
116,Straws,Paper Goods,2000,4,BOX,4,1,1,1,10.06,1,3/5/2018 10:44:47 AM,3
117,16 Oz Cups,Paper Goods,1000 CASE,9,Sleeve,20,1,1,1,54.75,1,,3
118,Large To-Go Bags,Paper Goods,500,1,BAG,1,1,1,1,52.81,1,2/14/2018 12:00:00 AM,3
119,Soufle Cups,Paper Goods,2500,6,Sleeve,25,1,1,1,28.99,1,3/5/2018 10:44:47 AM,3
120,Ceramawrap,Paper Goods,2000,1,EACH,1,1,1,1,10.54,1,2/7/2018 11:52:55 AM,3
121,Die-Cut To-Go Bags,Paper Goods,500,0.75,CASE,1,1,1,1,60.34,1,3/5/2018 10:44:47 AM,3
122,Garbage Bags,Janitorial,250,2,CASE,1,1,1,1,28.62,1,3/7/2018 12:00:00 AM,3
123,Detergent,Janitorial,5 GAL,1.3,GALLON,4,1,1,1,21.02,2,12/11/2017 12:00:00 AM,2
