Id,Name,Category,PurchasedUnit,LastOrderAmount,LastPurchasedPrice,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedDate,LastVendorId
115,16/24 Oz Lids,Paper Goods,1000 CASE,1,25.51,12,Sleeve,10,1,1,100,,3
116,Straws,Paper Goods,2000,1,10.06,2.5,BOX,4,1,1,100,12/5/2017 12:00:00 AM,3
117,16 Oz Cups,Paper Goods,1000 CASE,1,54.75,10,Sleeve,20,1,1,100,,3
118,Large To-Go Bags,Paper Goods,500,0,52.81,0.4,BAG,1,1,1,100,,3
119,Soufle Cups,Paper Goods,2500,1,26.35,4,Sleeve,25,1,1,100,6/6/2017 12:00:00 AM,3
120,Ceramawrap,Paper Goods,2000,1,10.54,0,EACH,1,1,1,100,9/12/2017 12:00:00 AM,3
121,Die-Cut To-Go Bags,Paper Goods,500,1,55.35,0,CASE,1,1,1,100,1/16/2018 12:00:00 AM,3
122,Garbage Bags,Janitorial,250,1,28.62,0.75,CASE,1,1,1,100,,3
123,Detergent,Janitorial,5 GAL,2,21.02,0.9,GALLON,4,1,1,100,12/11/2017 12:00:00 AM,2
124,De-Greaser,Janitorial,1 Gal,4,5.53,3,GALLON,4,1,1,100,12/11/2017 12:00:00 AM,2
125,Bleach,Janitorial,4 GAL,1,8,0,GALLON,4,1,1,100,1/16/2018 12:00:00 AM,3
126,Steel Wool,Janitorial,12 COUNT,1,4.77,9,Sleeve,12,1,1,100,12/5/2017 12:00:00 AM,3
127,Fabuloso,Janitorial,3 GAL,0,24.26,3,1 GAL,3,1,1,,,2
128,Bay Leaves,Herbs,8oz,1,10.48,30,OZ-wt,8,OZ-wt,1,,12/11/2017 12:00:00 AM,2
129,Lemonade Base,Beverage,EA,1,21.18,16.75,GALLON,4,1,16,,12/11/2017 12:00:00 AM,2
130,Pink Lemonade Base,Beverage,4 GAL,2,22.23,20.4,GALLON,4,1,1,,12/11/2017 12:00:00 AM,2
131,Jalapenos Nacho Sliced,Grocery,EA,1,19.99,0,CAN,6,OZ-wt,1,,1/10/2018 12:00:00 AM,0
